Transcription-Units	Regulation - regulator proteins of transcription unit	Sequence - coordinates of DNA region	Genes of transcription unit	Direction
TU0-13516	EG12386-MONOMER	[yehDCBA 2,187,380 &larr; 2,192,222]	EG11990 // EG11989 // EG11988 // EG11987	-
TU0-13992		[yibIH 3,770,243 &larr; 3,771,744]	EG11765 // EG11764	-
TU00439	CPLX0-7797 // PD00353	[upp-uraA 2,618,871 &larr; 2,620,909]	EG12129 // EG11332	-
TU0-14433	PHOSPHO-PHOB // EG12243-MONOMER // PD01352 // EG12242-MONOMER // PD00288 // CPLX0-7797 // EG11544-MONOMER // PHOSPHO-HYDG // PD00353 // PHOSPHO-TORR // G7072-MONOMER // EG12386-MONOMER	[gadXW 3,663,541 &larr; 3,665,839]	EG12242 // EG12243	-
TU0-36426		[tufA 3,470,145 &larr; 3,471,583]	EG11036	-
TU0-4961	PD00214 // EG20249-MONOMER // CPLX0-226	[gntP 4,549,922 &larr; 4,551,334]	EG12563	-
TU0-13095	G7072-MONOMER // EG12386-MONOMER	[elfDCG-ycbUVF 998,490 &rarr; 1,004,657]	EG12397 // G6485 // G6484 // G6483 // G6482 // G6481	+
TU0-8519		[ryjA 4,277,926 &larr; 4,278,066]	G0-8875	-
TU00039	MONOMER0-158 // CPLX0-7797	[malPQ 3,547,986 &larr; 3,552,510]	EG10561 // EG10560	-
TU0-13499	G7072-MONOMER	[wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC 2,118,680 &larr; 2,132,070]	G7102 // G7101 // G7100 // G7099 // EG11787 // EG11788 // EG11789 // EG11790 // EG10161 // EG10162 // G7098 // G7097	-
TU0-13975	PD00353	[eptB 3,708,784 &larr; 3,710,581]	EG12267	-
TU00423		[hscBA-fdx-iscX 2,656,506 &larr; 2,659,524]	EG12311 // EG11328 // EG12130 // EG12131	-
TU0-14408	CPLX0-8109 // PD00288 // G7072-MONOMER	[pdeL 331,873 &rarr; 333,459]	EG11236	+
TU0-36402	G7072-MONOMER	[fhuF 4,604,875 &larr; 4,605,752]	G7949	-
TU0-4786		[crr 2,535,480 &rarr; 2,536,380]	EG10165	+
TU0-13078	PD00353 // G7072-MONOMER	[trxB 931,019 &larr; 932,078]	EG11032	-
TU0-8502	PD00353	[nsrR-rnr-rlmB-yjfI 4,406,044 &rarr; 4,410,534]	G7846 // G7845 // EG11259 // EG11212	+
TU00023	PHOSPHO-NARL // CPLX0-7797 // CPLX0-7721 // PD00353	[frdABCD 4,378,966 &larr; 4,382,412]	EG10333 // EG10332 // EG10331 // EG10330	-
TU0-13480		[insC3D3CD3 2,068,952 &larr; 2,070,180]	G7077 // G7076 // G0-10543	-
TU0-13955		[yhiL 3,632,852 &larr; 3,634,488]	EG12227	-
TU00405		[htgA 10,644 &rarr; 11,315]	EG11509	+
TU0-14392		[rydC 1,491,442 &larr; 1,491,506]	G0-10592	-
TU0-3425	CPLX0-7748	[bacA 3,203,310 &larr; 3,204,175]	EG11665	-
TU0-45291	PHOSPHO-HYDG // G7072-MONOMER	[tnaAB 3,888,730 &rarr; 3,891,483]	EG11006 // EG11005	+
TU0-13061		[ybiV 859,213 &larr; 860,028]	G6425	-
TU0-8486		[panD 146,314 &larr; 146,745]	EG11747	-
TU00007	CPLX0-228 // PD00353 // PHOSPHO-ARCA	[argR 3,384,649 &rarr; 3,385,173]	EG10070	+
TU0-13461	PD00353	[yodC 2,028,188 &larr; 2,028,370]	G7050	-
TU0-13936	G7619-MONOMER // PD00353	[yhhW 3,578,950 &larr; 3,579,645]	G7756	-
TU00389	G7072-MONOMER	[osmB 1,343,110 &larr; 1,343,369]	EG10679	-
TU0-14370		[aspT 3,946,872 &rarr; 3,946,948]	EG30023	+
TU0-3162	PD00288 // G7072-MONOMER // CPLX0-7797 // PHOSPHO-ARCA	[cydAB 771,116 &rarr; 774,181]	EG10174 // EG10173	+
TU0-45273	CPLX0-226 // PC00061	[epd-pgk-fbaA 3,070,165 &larr; 3,073,823]	EG10282 // EG10703 // EG10368	-
TU0-13044		[ybhJ 803,503 &rarr; 805,764]	G6401	+
TU0-45217	PC00010 // G7072-MONOMER	[dinB-yafNOP 250,880 &rarr; 253,161]	G6118 // G6117 // G6116 // G6115	+
TU0-8464		[rplL 4,180,530 &rarr; 4,180,925]	EG10873	+
TU0-9	CPLX0-7916 // PC00010	[yehF 2,196,445 &rarr; 2,197,298]	EG11992	+
TU0-13442	G7072-MONOMER	[yecDE 1,950,832 &rarr; 1,952,213]	EG12379 // EG12378	+
TU0-13919		[yheSTU 3,481,289 &rarr; 3,484,436]	G7719 // G7718 // EG12903	+
TU00372		[uxaB 1,609,229 &larr; 1,610,680]	EG11065	-
TU0-14350		[mviM 1,126,806 &rarr; 1,127,729]	G6560	+
TU0-2706		[metJ 4,128,078 &larr; 4,128,558]	EG10588	-
TU0-45257	MONOMER0-4536 // CPLX0-226 // PHOSPHO-OMPR // PC00084 // PHOSPHO-RSTA // CPLX0-7748 // PC00027 // EG12008-MONOMER // PD01379 // PC00061 // EG11356-MONOMER // PHOSPHO-BASR // CPLX0-8597 // G7571-MONOMER // PD00288 // MONOMER0-4276	[csgDEFG 1,100,851 &larr; 1,103,344]	G6543 // G6544 // G6545 // G6546	-
TU0-13028		[ybfQ 736,445 &rarr; 736,699]	G0-10440	+
TU0-45202	CPLX0-226 // MONOMER-47 // CPLX-124 // PD00221	[rhaSR 4,097,599 &rarr; 4,099,494]	EG10843 // EG10842	+
TU0-8359	CPLX0-7797	[gapC_1C_2 1,489,713 &larr; 1,490,713]	G8205	-
TU0-8846		[ldrD 3,699,899 &larr; 3,700,272]	G0-9041	-
TU0-13426		[msrC 1,915,631 &larr; 1,916,128]	G7005	-
TU0-13901	G7688-MONOMER // CPLX0-226	[aaeXAB 3,386,221 &larr; 3,389,430]	G7687 // G7686 // G7685	-
TU00356		[ydjA-selD-topB 1,844,932 &larr; 1,848,700]	EG11014 // EG11134 // EG10943	-
TU0-14328	G7072-MONOMER	[secG 3,322,173 &larr; 3,322,505]	EG12095	-
TU0-2443	PHOSPHO-PHOP	[treR 4,466,284 &larr; 4,467,347]	EG12202	-
TU0-45242	PD00365 // PD00288 // MONOMER0-155 // PHOSPHO-TORR // PHOSPHO-PHOP // EG12243-MONOMER // EG12242-MONOMER // PHOSPHO-RCSB // EG11356-MONOMER // EG11544-MONOMER	[hdeAB-yhiD 3,655,255 &larr; 3,656,791]	EG11400 // EG11399 // EG11398	-
TU0-13010	G7072-MONOMER	[leuS-lptE-holA-nadD-cobC 669,296 &larr; 674,783]	EG10532 // EG10855 // EG11412 // G6350 // G6349	-
TU0-45186		[pqiABC 1,011,659 &rarr; 1,015,459]	G6492 // G6491 // G6490	+
TU0-8339	PHOSPHO-PHOP	[queE 2,904,747 &larr; 2,905,418]	G7443	-
TU0-8830		[insG 4,502,103 &larr; 4,503,431]	G7900	-
TU0-13410		[dmlA 1,881,912 &rarr; 1,882,997]	G6986	+
TU0-13885	G7072-MONOMER	[ispB 3,333,710 &rarr; 3,334,681]	EG10017	+
TU00337	PD00353	[rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ 3,442,618 &larr; 3,448,222]	EG11232 // EG10766 // EG10876 // EG10888 // EG10904 // EG10879 // EG10869 // EG10907 // EG10913 // EG10868 // EG10884 // EG10875	-
TU0-14311		[frwD 4,147,138 &rarr; 4,147,479]	EG11912	+
TU0-2021	CPLX0-226 // PHOSPHO-PHOB	[psiE 4,240,247 &rarr; 4,240,735]	EG11209	+
TU0-12994		[ybdO 636,716 &larr; 637,618]	G6332	-
TU0-45170	PC00061	[glk 2,508,424 &larr; 2,509,461]	EG12957	-
TU0-8302		[pta 2,414,486 &rarr; 2,416,891]	EG20173	+
TU0-8814	G7072-MONOMER	[nudG 1,841,490 &rarr; 1,841,897]	G6954	+
TU0-13392		[ydjE 1,852,621 &larr; 1,853,979]	EG12369	-
TU0-13868	G7619-MONOMER	[yhaKL 3,254,319 &rarr; 3,255,207]	G7621 // G7620	+
TU00320	PD00353 // G7072-MONOMER // PHOSPHO-ARCA	[pntAB 1,674,972 &larr; 1,677,975]	EG10745 // EG10744	-
TU0-14292		[lptAB 3,343,326 &rarr; 3,344,669]	EG11680 // G7665	+
TU0-1782	PD00214	[ychF 1,256,721 &larr; 1,257,882]	EG11404	-
TU0-12975		[ybcN-ninE-ybcO-rusA-ylcG 572,466 &rarr; 573,870]	G0-10435 // G6306 // G6305 // G6304 // G6303	+
TU0-45145	G6749-MONOMER	[hicAB 1,509,275 &rarr; 1,509,924]	G6749 // G0-10451	+
TU0-8223	PD00214 // CPLX0-7796 // CPLX0-7752 // G7072-MONOMER	[metR 4,011,863 &larr; 4,012,855]	EG10591	-
TU0-13375	EG11088-MONOMER	[ppsR 1,787,445 &rarr; 1,788,278]	EG11132	+
TU0-8800		[fsaA 863,642 &rarr; 864,304]	G6428	+
TU0-13851	EG12386-MONOMER // G7072-MONOMER	[ygjI 3,226,234 &rarr; 3,227,667]	EG12720	+
TU00302	CPLX0-7756 // CPLX0-7797 // PHOSPHO-ARCA // PHOSPHO-NARL // G7072-MONOMER	[moeAB 864,380 &larr; 866,394]	EG10154 // EG10153	-
TU877		[rpe-gph-trpS 3,512,634 &larr; 3,515,153]	EG11030 // EG11871 // M004	-
TU0-14262	CPLX0-7733 // G7072-MONOMER	[asnC-mioC 3,926,012 &larr; 3,927,031]	EG11199 // EG10093	-
TU0-1546	CPLX0-226 // CPLX0-7797 // PD00353	[aer 3,217,556 &larr; 3,219,120]	G7595	-
TU0-12957		[fetAB 515,903 &rarr; 517,362]	G6267 // G6266	+
TU0-44223		[sokX 2,887,353 &rarr; 2,887,411]	G0-10695	+
TU0-8101	PD00353	[pgl 798,586 &rarr; 799,581]	G6397	+
TU0-13359	CPLX0-7756	[mepH 1,734,357 &rarr; 1,735,250]	G6892	+
TU0-8779		[cspF 1,641,855 &rarr; 1,642,067]	EG12205	+
TU0-13833	EG12386-MONOMER // PD00353	[ygiV 3,168,749 &larr; 3,169,231]	G7573	-
TU00283		[hemCDXY 3,986,686 &larr; 3,990,766]	EG10434 // EG10433 // EG10430 // EG10429	-
TU0-1424	CPLX0-228	[ftsZ 104,693 &rarr; 106,456]	EG10347	+
TU861	CPLX0-7797 // MONOMER0-155 // PC00027 // EG12031-MONOMER	[yeiL 2,255,063 &rarr; 2,256,014]	EG12031	+
TU0-14812	G7072-MONOMER	[rnlB 2,766,860 &rarr; 2,767,355]	G7366	+
TU0-12938		[ffs 476,448 &rarr; 476,561]	EG30027	+
TU0-44207		[paaJ 1,460,644 &rarr; 1,462,098]	G6718	+
TU0-7823	PHOSPHO-PHOP // PD00353 // G7072-MONOMER	[ompT 584,680 &larr; 585,665]	EG10673	-
TU0-12935		[cof 467,412 &rarr; 468,230]	G6246	+
TU0-44204		[mngB 767,795 &rarr; 770,611]	EG13236	+
TU0-7806	EG11088-MONOMER // PHOSPHO-PHOP	[hemL 173,602 &larr; 174,921]	EG10432	-
TU0-13338	G7072-MONOMER // CPLX0-7797	[ynfK 1,666,524 &larr; 1,667,219]	G6851	-
TU0-8756		[ygiH 3,204,694 &rarr; 3,205,311]	EG11674	+
TU0-13814		[pppA 3,113,543 &larr; 3,114,352]	G7539	-
TU00263	PC00027 // PD00353 // G7072-MONOMER // EG12386-MONOMER	[yadV-htrE 152,829 &larr; 156,235]	EG11972 // EG11973	-
TU0-14219		[yjjUV 4,612,411 &rarr; 4,614,260]	G7952 // G7951	+
TU781		[cedA 1,813,421 &larr; 1,813,742]	G6936	-
TU0-14781		[yahE 335,739 &rarr; 336,788]	G6184	+
TU0-12915		[ppnP 408,148 &rarr; 408,461]	EG12159	+
TU0-4343		[secMA-mutT 107,705 &rarr; 111,433]	EG10626 // EG10936 // EG11087	+
TU0-7662	CPLX0-7639 // PHOSPHO-HYDG	[yhhY 3,581,034 &rarr; 3,581,626]	G7758	+
TU0-13322		[ydfUT 1,642,489 &larr; 1,644,304]	G6831 // G6830	-
TU0-8739		[yfgO 2,614,820 &larr; 2,615,881]	G7310	-
TU0-13794	CPLX0-7705 // EG11554-MONOMER // PD00353 // PD00288	[ssrS-ygfA 3,055,974 &rarr; 3,056,789]	EG11158 // EG30099	+
TU00247	PD00288 // CPLX0-226 // CPLX0-8062 // PHOSPHO-ARCA // CPLX0-7797	[caiTABCDE 34,781 &larr; 42,037]	EG12608 // EG11557 // EG11558 // EG11559 // EG11560 // EG11561	-
TU0-14202	PD00353	[yjiML 4,563,922 &larr; 4,565,850]	G7932 // G7931	-
TU66	PHOSPHO-PHOP	[phoPQ 1,188,316 &larr; 1,190,508]	EG10732 // EG10731	-
TU0-14746	G7072-MONOMER	[uxaCA 3,241,827 &larr; 3,244,843]	EG12734 // G81	-
TU0-12894		[yahIJ 340,165 &rarr; 342,507]	G6189 // G6188	+
TU0-42684		[argH 4,156,850 &rarr; 4,158,223]	EG11223	+
TU0-7341	PD00353	[rpiA 3,058,644 &larr; 3,059,353]	EG11443	-
TU0-13304	PD00353	[sad 1,613,315 &larr; 1,614,703]	G6811	-
TU0-8723	PHOSPHO-PHOB // G7072-MONOMER	[yegH 2,137,863 &rarr; 2,139,485]	G7108	+
TU0-13778	G7072-MONOMER	[yqeB 3,012,614 &larr; 3,014,239]	G7494	-
TU00231	BCCP-CPLX	[accBC 3,405,140 &rarr; 3,407,302]	EG10275 // EG10276	+
TU0-14184		[yjhE 4,506,861 &rarr; 4,507,109]	G7903	+
TU564		[rpsA-ihfB 961,717 &rarr; 964,173]	EG10441 // EG10900	+
TU0-14714	CPLX0-226 // CPLX0-7745	[murQP 2,545,733 &rarr; 2,548,097]	G7264 // G7263	+
TU0-1193		[dnaN-recF 3,880,148 &larr; 3,882,733]	EG10828 // EG10242	-
TU0-12878		[ecpBCDE 304,495 &larr; 310,119]	G6163 // G6162 // G6161 // G6160	-
TU0-42630		[sdsN 1,996,921 &rarr; 1,997,057]	G0-10699	+
TU0-7081	PD00266 // MONOMER-53 // MONOMER-52 // PD03028 // PD00261 // CPLX0-226	[galP 3,088,193 &rarr; 3,089,678]	EG12148	+
TU0-13287		[maeA 1,553,972 &larr; 1,555,669]	EG10948	-
TU0-8706	CPLX0-7797	[ydeJ 1,624,688 &rarr; 1,625,291]	EG11645	+
TU0-13761		[ygeF 2,990,554 &rarr; 2,991,043]	G7470	+
TU00214	PC00003 // CPLX0-226 // CPLX-172	[araBAD 65,800 &larr; 70,075]	EG10055 // EG10052 // EG10053	-
TU0-14166	PC00003	[ytfQRT-yjfF 4,449,962 &rarr; 4,454,578]	EG12439 // EG12520 // EG12518 // EG12517	+
TU501	G7072-MONOMER	[feaR 1,446,378 &larr; 1,447,367]	G6706	-
TU0-14682	PHOSPHO-OMPR // G7072-MONOMER	[ecnB 4,376,509 &rarr; 4,376,731]	G0-9562	+
TU0-1123	CPLX0-6	[moaABCDE 816,856 &rarr; 819,747]	EG11598 // EG11597 // EG11666 // EG11596 // EG11595	+
TU0-12862		[TU0-12862 270,226 &rarr; 272,190]	G6131 // G6130	+
TU0-42595		[metG 2,193,758 &rarr; 2,196,366]	EG10586	+
TU0-6885		[yhfG-fic-pabA 3,490,266 &larr; 3,491,648]	EG10682 // EG10307 // EG12374	-
TU0-13269	CPLX0-226 // G7072-MONOMER // CPLX0-7797	[ortT 1,517,389 &rarr; 1,517,562]	G6756	+
TU0-8689	CPLX0-226	[ychH 1,258,738 &rarr; 1,259,069]	EG11533	+
TU0-13743	CPLX0-7797	[mltA 2,946,081 &larr; 2,947,178]	G7457	-
TU00198	PC00061 // PHOSPHO-NARL // CPLX0-7705 // PD00353 // CPLX0-7797	[adhE 1,295,446 &larr; 1,298,413]	EG10031	-
TU0-14150	EG12386-MONOMER	[rsgA 4,390,457 &larr; 4,391,509]	G7841	-
TU424	MONOMER0-183 // CPLX0-3930	[hydN-hypF 2,835,173 &larr; 2,838,132]	EG11551 // EG11552	-
TU0-14663		[kup 3,931,265 &rarr; 3,933,184]	EG11541	+
TU-8441	PHOSPHO-NARP // PHOSPHO-NARL // CPLX0-7797 // CPLX0-7756	[ytfE 4,431,321 &larr; 4,432,009]	G7866	-
TU0-12843		[dnaQ 236,067 &rarr; 236,798]	EG10243	+
TU0-42572		[ralA 1,413,556 &rarr; 1,413,734]	G0-16600	+
TU0-6657	CPLX0-7797	[rplT 1,799,363 &larr; 1,799,763]	EG10881	-
TU0-13252		[ydcF 1,487,235 &rarr; 1,488,035]	EG12110	+
TU0-8672		[ybjM 890,089 &rarr; 890,466]	G6446	+
TU0-13726	CPLX0-226	[cas3 2,884,553 &larr; 2,887,249]	EG12634	-
TU00182	CPLX0-7639 // EG11966-MONOMER // EG11449-MONOMER // MONOMER0-155 // CPLX0-7797 // CPLX0-226 // PD00353 // EG11544-MONOMER // PC00027 // CPLX0-228 // EG12105-MONOMER // G7072-MONOMER // EG12386-MONOMER	[gltBDF 3,354,157 &rarr; 3,361,940]	EG10403 // EG10404 // EG11514	+
TU0-14130	EG12386-MONOMER	[yjdP 4,313,868 &rarr; 4,314,197]	G0-9541	+
TU355	PHOSPHO-BASR // PUTA-MONOMER // PD00365 // EG12105-MONOMER // PHOSPHO-ARCA	[putA 1,074,920 &larr; 1,078,925]	EG10801	-
TU0-14643		[ucpA 2,543,832 &larr; 2,544,671]	EG12133	-
TU-8412	CPLX0-3930	[gltIJKL-sroC 684,530 &larr; 687,896]	G0-9383 // EG12663 // EG12662 // EG12661 // G6359	-
TU0-12825		[yaeH 183,709 &larr; 184,095]	EG12336	-
TU0-42545		[ghoST 4,352,549 &rarr; 4,353,081]	G0-10472 // G7830	+
TU0-6626		[pheMST-ihfA 1,795,216 &larr; 1,799,301]	EG10440 // EG11272 // EG10710 // EG10709	-
TU0-13234	G7072-MONOMER	[ynaK-ydaY 1,425,377 &rarr; 1,425,980]	G6689 // G6688	+
TU0-8653		[yqgC 3,086,187 &rarr; 3,086,402]	G7522	+
TU0-13709	CPLX0-7748	[yqaE 2,796,870 &larr; 2,797,085]	G7396	-
TU00166	CPLX0-7639 // CPLX0-226	[entCEBA-ybdB 624,563 &rarr; 629,713]	EG10261 // EG10263 // EG10260 // EG10259 // EG11105	+
TU0-14114		[yjbI 4,250,703 &rarr; 4,252,283]	EG11927	+
TU27	PHOSPHO-PHOB // EG12278-MONOMER	[eda 1,932,085 &larr; 1,932,784]	EG10256	-
TU0-14621	PD00353 // G7072-MONOMER // EG12386-MONOMER	[bssS 1,120,701 &larr; 1,121,020]	G6557	-
TU-8388		[recC 2,959,060 &larr; 2,962,507]	EG10825	-
TU0-12809		[lpxC 106,508 &rarr; 107,544]	EG10265	+
TU0-42518		[rhoL 3,966,162 &rarr; 3,966,876]	EG12428	+
TU0-6553		[lysC 4,231,884 &larr; 4,233,616]	EG10550	-
TU0-13217		[pgrR 1,391,991 &rarr; 1,392,890]	G6664	+
TU0-8637	PHOSPHO-ARCA	[yncD 1,520,963 &larr; 1,523,065]	G6762	-
TU0-13691		[yfjJ 2,760,547 &rarr; 2,761,173]	G7361	+
TU00150	PHOSPHO-DPIA // PD03270 // CPLX0-226 // G7072-MONOMER	[exuT 3,244,962 &rarr; 3,246,522]	EG12738	+
TU0-14091		[ptsA-fsaB-gldA 4,137,932 &larr; 4,142,221]	EG11906 // EG11905 // EG11904	-
TU142	CPLX0-226 // CPLX0-8062 // CPLX0-7797	[fixABCX 42,127 &rarr; 45,750]	EG11565 // EG11564 // EG11563 // EG11562	+
TU0-14574	G7072-MONOMER	[secG-leuU 3,322,035 &larr; 3,322,590]	EG30050 // EG12095	-
TU0-12791		[satP 9,928 &larr; 10,494]	EG11512	-
TU0-42497		[dksA-gluQ 159,186 &larr; 160,751]	EG11362 // EG10230	-
TU0-6503		[gcvR 2,599,879 &rarr; 2,600,478]	EG11149	+
TU0-13198	G7947-MONOMER	[ymiA-yciX 1,335,090 &rarr; 1,335,458]	G0-10513 // G0-10512	+
TU0-8619	G7072-MONOMER	[yjgM 4,479,034 &larr; 4,479,537]	G7886	-
TU0-13672		[pssA 2,722,668 &rarr; 2,724,082]	EG10781	+
TU00133	PD00288 // PD00283 // PD00345 // CPLX0-226 // G7072-MONOMER	[srlAEBD-gutM-srlR-gutQ 2,825,449 &rarr; 2,830,778]	G8210 // EG10969 // EG10970 // EG10971 // EG10972 // EG10974 // EG10973	+
TU0-14070		[yihXY-dtd-fabY 4,075,548 &rarr; 4,078,438]	EG11853 // EG11852 // EG11851 // EG11850	+
TU00519	CPLX0-7705	[proK 3,708,409 &larr; 3,708,694]	EG30066	-
TU0-14549		[tyrV-tpr 1,287,009 &larr; 1,287,358]	EG11016 // EG30108	-
TU0-42472	CPLX0-226	[patZ 2,719,931 &rarr; 2,722,613]	G7350	+
TU0-6409	CPLX0-7705	[gltX 2,519,208 &larr; 2,520,730]	EG10407	-
TU0-13177	EG12386-MONOMER	[ycgY 1,245,160 &rarr; 1,245,600]	G6625	+
TU0-8601		[yieG 3,895,272 &larr; 3,896,609]	EG11724	-
TU0-13654		[ryfA 2,653,855 &rarr; 2,654,158]	G0-8879	+
TU00117	MONOMER-48	[bioBFCD 809,281 &rarr; 812,947]	EG10118 // EG10121 // EG10119 // EG10120	+
TU0-14053		[tatD 4,023,554 &rarr; 4,024,336]	EG11481	+
TU00503	CPLX0-7705	[argX-hisR-leuT-proM 3,982,289 &rarr; 3,982,841]	EG30017 // EG30042 // EG30049 // EG30068	+
TU0-14527		[selD-topB 1,844,932 &larr; 1,848,024]	EG11014 // EG10943	-
TU0-42454	PHOSPHO-ARCA	[appY 583,656 &rarr; 584,430]	EG10050	+
TU0-6042	CPLX0-7639	[entS 622,214 &rarr; 623,550]	EG11104	+
TU0-13160		[ycgZ 1,215,789 &rarr; 1,216,025]	G6604	+
TU0-8585		[yhhS 3,610,516 &larr; 3,611,733]	EG12219	-
TU0-13636	PD00266 // G7072-MONOMER // CPLX0-228	[eutSPQTDM 2,572,157 &larr; 2,575,805]	G7292 // G7291 // G7290 // G7289 // G7288 // G7287	-
TU00100	CPLX0-8075 // PD00288 // G7072-MONOMER // CPLX0-7797 // PHOSPHO-ARCA	[cydAB 770,855 &rarr; 774,181]	EG10173 // EG10174	+
TU0-13566		[yfaX-rhmD 2,360,209 &larr; 2,362,211]	G7161 // G7160	-
TU0-14036		[gpp 3,962,745 &larr; 3,964,229]	EG10413	-
TU00487	PD00353	[rpoN-hpf-ptsN-yhbJ-npr 3,344,662 &rarr; 3,348,289]	EG10898 // EG11681 // EG11682 // EG12146 // EG12147	+
TU0-14506	G7072-MONOMER	[glxK 541,858 &rarr; 543,033]	G6283	+
TU0-41901		[sdiA 1,996,110 &larr; 1,996,897]	EG10935	-
TU0-5682	EG11356-MONOMER // PD00288 // EG12243-MONOMER // EG12242-MONOMER // CPLX0-226 // EG11544-MONOMER // PHOSPHO-EVGA // G6789-MONOMER // EG12105-MONOMER // PHOSPHO-TORR // G7072-MONOMER	[gadEF-mdtEF 3,658,146 &rarr; 3,663,527]	G0-16680 // EG12241 // EG12240 // EG11544	+
TU0-13142		[nagK-cobB 1,178,593 &rarr; 1,180,359]	G6577 // G6576	+
TU0-8567		[ybiA 832,468 &larr; 832,950]	EG11579	-
TU0-13618		[pdeA 2,515,643 &larr; 2,517,832]	EG11145	-
TU00084	CPLX0-7740 // CPLX0-226 // MONOMER0-160 // PHOSPHO-HYDG	[rpoH 3,599,887 &larr; 3,600,863]	EG10897	-
TU0-13550		[mepS 2,269,920 &rarr; 2,270,545]	G7147	+
TU0-1402		[yihG 4,045,670 &larr; 4,046,652]	EG11833	-
TU00471	CPLX0-7756 // PHOSPHO-HYDG // PD00353	[fliAZY 1,999,541 &larr; 2,001,808]	G7039 // EG11356 // EG11355	-
TU0-14486		[rrsA-ileT-alaT-rrlA-rrfA 4,035,356 &rarr; 4,040,636]	EG30070 // EG30077 // EG30008 // EG30043 // EG30084	+
TU0-41656		[yceI 1,117,901 &larr; 1,118,476]	EG11820	-
TU0-5481	PHOSPHO-NARL // CPLX0-7797 // G7072-MONOMER	[ynfEFGH-dmsD 1,657,962 &rarr; 1,665,120]	G6849 // G6848 // G6847 // G6846 // G6845	+
TU0-13125	G7072-MONOMER	[mdtG 1,114,264 &larr; 1,115,490]	EG11343	-
TU0-8551	G7072-MONOMER // PD00353	[yaiY 399,025 &larr; 399,333]	G6228	-
TU0-13602		[tfaS 2,470,803 &rarr; 2,471,105]	G7222	+
TU00068	G6664-MONOMER // PD00413 // PD00353	[tyrR 1,386,596 &rarr; 1,388,301]	EG11042	+
TU0-13530		[yohC 2,225,044 &larr; 2,225,631]	EG12016	-
TU0-14004	G7072-MONOMER	[gmk 3,821,388 &rarr; 3,822,051]	EG10965	+
TU00453		[endA 3,090,275 &rarr; 3,091,123]	EG11336	+
TU0-14463		[nagC 700,374 &larr; 701,865]	EG10636	-
TU0-3723	CPLX0-7705 // CPLX0-226 // PC00027 // PD04418	[acs-yjcHG 4,283,253 &larr; 4,287,391]	EG11942 // EG11943 // EG11448	-
TU0-5162	G7854-MONOMER // PC00027 // CPLX0-226	[ulaABCDEF 4,419,866 &rarr; 4,424,386]	G7860 // G7859 // G7858 // EG12495 // EG12494 // G7856	+
TU0-13109		[insA4AB4B4 1,049,833 &rarr; 1,050,530]	G6509 // G0-10430 // G0-10536	+
TU0-8535	G7072-MONOMER	[uspC 1,979,753 &rarr; 1,980,181]	G7031	+
TU0-13585		[yfcD 2,418,634 &larr; 2,419,206]	G7191	-
TU00052	PHOSPHO-PHOB // PD00353	[phoA-psiF 401,676 &rarr; 403,601]	EG10727 // EG11401	+
TU0-13513	G7137-MONOMER	[rcnR 2,185,524 &larr; 2,185,903]	G7137	-
TU0-13989		[rhsA-yibA 3,762,183 &rarr; 3,767,179]	EG11187 // EG10846	+
TU00436		[rpoD 3,212,473 &rarr; 3,214,962]	EG10896	+
TU0-14425		[sroA 75,516 &larr; 75,608]	G0-9381	-
TU0-36423	CPLX0-7705 // EG11554-MONOMER // PD00353 // PD00288	[ssrS 3,055,759 &rarr; 3,056,283]	EG30099	+
TU0-4928	PD03585 // CPLX0-226	[gntT 3,546,333 &rarr; 3,547,875]	EG12380	+
TU0-13091		[mepK-gloC 983,023 &rarr; 984,297]	G6475 // G6474	+
TU0-8516		[sraG 3,311,183 &rarr; 3,311,398]	G0-8870	+
TU00036	PD00365 // PD00763 // PD00288 // CPLX0-226	[lacZYA 361,140 &larr; 366,343]	EG10524 // EG10526 // EG10527	-
TU0-13494		[wzzB 2,097,321 &larr; 2,098,301]	G7090	-
TU0-13972		[bcsEFG 3,696,443 &rarr; 3,699,893]	EG12265 // EG12264 // EG12263	+
TU00419	PD00353	[clpPX 456,646 &rarr; 458,755]	EG10158 // EG10159	+
TU0-14405		[hypF 2,835,173 &larr; 2,837,455]	EG11551	-
TU0-3623	PROTEIN-NRIP // G7072-MONOMER	[ddpXABCDF 1,557,112 &larr; 1,563,107]	G6777 // G6778 // G6779 // G6780 // G6781 // G6782	-
TU0-4761	PC00027 // MONOMER0-1	[csrB 2,924,156 &larr; 2,924,524]	G0-8785	-
TU0-13075		[poxB-ltaE-ybjT 906,852 &larr; 911,049]	EG10754 // G6455 // G6454	-
TU0-8499	G7072-MONOMER	[rfaH 4,024,333 &larr; 4,024,821]	EG10839	-
TU00020	CPLX0-7639	[fhuACDB 167,439 &rarr; 173,444]	EG10302 // EG10304 // EG10305 // EG10303	+
TU0-13477		[yeeO 2,058,203 &larr; 2,059,846]	G7070	-
TU0-13951		[yhhI 3,624,378 &rarr; 3,625,514]	EG11525	+
TU00402	G7072-MONOMER	[htpG 495,084 &rarr; 497,029]	EG10461	+
TU0-14388	MONOMER0-4536	[mreB 3,400,005 &larr; 3,401,129]	EG10608	-
